"Kind","Key","Count","Branches"
"same_sha","adc0d6ce094cd42561a61cbbd99b34ec2c29d17b","2","rescue/no-perder-nada-20260615-171019/stash/13;rescue/no-perder-nada-20260615-180121/stash/13"
"same_sha","70df4b7edcdd8066d83bd8f664c78196dbd53af2","3","codex/final-rc-scope-cutover;rescue/no-perder-nada-20260615-171019/worktree-head/005-C-/tmp/S_Hospital_final_rc;rescue/no-perder-nada-20260615-180121/worktree-head/005-"
"same_sha","813c221b5722eb28482d427d345ac28591cd475c","2","rescue/no-perder-nada-20260615-171019/stash/22;rescue/no-perder-nada-20260615-180121/stash/22"
"same_sha","6a8d22e43c0b087e688858e2f40ee92dc653ad81","2","rescue/no-perder-nada-20260615-171019/stash/14;rescue/no-perder-nada-20260615-180121/stash/14"
"same_sha","6b2f004d67032db27c60ab7ac104e37ccedbd298","2","rescue/no-perder-nada-20260615-171019/stash/18;rescue/no-perder-nada-20260615-180121/stash/18"
"same_tree","ec8ac2a59868e386970dd671495a5bdc53333fd3","2","rescue/no-perder-nada-20260615-171019/stash/14;rescue/no-perder-nada-20260615-180121/stash/14"
"same_tree","7f445ee37a048138eebd71ee458d7a8c1ddd2dbc","2","rescue/no-perder-nada-20260615-171019/stash/30;rescue/no-perder-nada-20260615-180121/stash/30"
"same_tree","c66a002c999d3c5e4ee460de79c735134284f665","2","rescue/no-perder-nada-20260615-171019/stash/19;rescue/no-perder-nada-20260615-180121/stash/19"
"same_tree","df93d5b80c9c23a9087c3e6b4e7ccfd213d670ae","2","audit/f6-post-approval-sensitive-a979d5b7;codex/f6-operational-polish"
"same_tree","3f7856e3d935fd74b0d5ac3acfc3396ededd7440","2","rescue/no-perder-nada-20260615-171019/stash/25;rescue/no-perder-nada-20260615-180121/stash/25"
"same_tree","544328f0c38a8a1703a9c9abdb37a7e22e6808c1","2","rescue/no-perder-nada-20260615-171019/stash/15;rescue/no-perder-nada-20260615-180121/stash/15"
"same_tree","08134f7aa593e994af0e043bcc18ca902336d2bc","2","rescue/no-perder-nada-20260615-171019/stash/18;rescue/no-perder-nada-20260615-180121/stash/18"
"same_tree","afbb2db65e30c74c7e757d036292d4cc507a36c9","2","rescue/no-perder-nada-20260615-171019/stash/9;rescue/no-perder-nada-20260615-180121/stash/9"
"same_tree","74864da0bb8672ed5a55547ad681d03749e72cf3","2","rescue/no-perder-nada-20260615-171019/stash/8;rescue/no-perder-nada-20260615-180121/stash/8"
"same_tree","47ab78314fa7802aa2878bbcfb1fac2276eefda3","2","rescue/no-perder-nada-20260615-171019/stash/23;rescue/no-perder-nada-20260615-180121/stash/23"
