"Branch","Commits","Files","Tests","Scripts","Migrations","FilesAlreadyPresentInMain","MissingFileSamples","CommitSubjects"
"audit/f6-post-approval-sensitive-a979d5b7","1","17","4","0","1","14","backend/database/migrations/2026_06_14_000002_encrypt_legacy_idempotency_keys.php; backend/tests/Feature/EncryptLegacyIdempotencyKeysTest.php; backend/tests/Feature/RestrictInvoiceItemsInvoiceDeleteTest.php","a979d5b7 refactor: enhance invoice and payment voiding logic with cash session checks and improve error handling"
"audit/f6-post-approval-sensitive-c851057f","1","3","1","1","1","1","backend/database/migrations/2026_06_14_000000_encrypt_idempotency_keys.php; backend/tests/Feature/EncryptLegacyIdempotencyKeysTest.php","c851057f fix(security): natively encrypt legacy plaintext idempotency keys"
"codex/operational-role-simulation","10","56","5","7","0","56","","b1a728ac fix(backups): persist current-user automation startup | e2e643f2 fix(backups): add current-user startup automation | e516b590 chore(backups): add windows backup wrappers | d6d49cf9 fix(backups): find local mysql dump binary | d66f3e75 fix(backups): schedule daily local backups | b659ba62 fix(invoices): keep paid invoices discoverable from POS | 5377f0e4 fix(pos): clarify payment and receipt workflow | 6e941a94 fix(pos): harden operational workflow readiness | 6c2cc325 fix(reports): harden admin permissions and exports UX | a6f4f36c fix(cash): clarify close-session and receipt workflow"
"codex/production-readiness-preflight","406","769","123","78","46","490",".github/PULL_REQUEST_TEMPLATE.md; CODE_OF_CONDUCT.md; CONTRIBUTING.md; RELEASE_NOTES_v1.0.0_FINAL.md; SECURITY.md; backend/app/Actions/Reports/AreaPaidServicesReportService.php; backend/app/Actions/Reports/InstitutionalExcelExportService.php; backend/app/Http/Controllers/InvoiceAuditController.php; backend/app/Http/Controllers/PatientInvoiceController.php; backend/app/Http/Requests/Billing/PatientSummaryRequest.php; backend/app/Http/Requests/Reports/AreaPaidServicesRequest.php; backend/app/Support/LempiraAmountWords.php","ab17005d docs(qa): record handoff evidence review | bde5874a docs(qa): refresh handoff release authority evidence | f6a0b40d docs(qa): record handoff release authority review | 7ba4d020 fix(ops): validate handoff release authority | 67b70744 docs(qa): record handoff refresh review | 8e4ddb97 docs(qa): refresh production handoff evidence | 25fe010d docs(qa): record catalog identifier review | 219496d5 fix(catalog): hide service identifier values in list | 61324fd0 docs(qa): record handoff guard review | 8e12f22e fix(ops): restore handoff safety guards | b84183bc docs(qa): record dynamic total smoke review | 4912f9cc test(smoke): collect visible invoice total"
"codex/supply-chain-hardening","7","65","7","13","0","50","backend/.npmrc; backend/app/Http/Requests/Reports/PdfExportReportRequest.php; backend/app/Policies/CashRegisterSessionPolicy.php; backend/package-lock.json; ""backend/public/C\357\200\272\357\201\234Projects\357\201\234S_Hospital\357\201\234backend\357\201\234storage\357\201\234framework\357\201\234views/275c7c02e2528e6029079c885e2d2418.php""; ""backend/public/C\357\200\272\357\201\234Projects\357\201\234S_Hospital\357\201\234backend\357\201\234storage\357\201\234framework\357\201\234views/dd310000961f2d208873a737c27d849a.php""; backend/tests/Unit/Actions/AuditUserActionsTest.php; backend/tests/Unit/Actions/CalculateInvoiceTotalsTest.php; backend/tests/Unit/Actions/EritropoyetinaRuleTest.php; backend/tests/Unit/Actions/RegisterPaymentTest.php; docs/OFFLINE_INSTALL.md; docs/SECURITY_SUPPLY_CHAIN_RUNBOOK.md","86e52a6b feat(deploy): implement robust network and docker preflight diagnostics v2 phase 1 | 93a36fd8 feat(deploy): implement offline release package bundler and image load integration for docker deployments | f25237c5 feat(deploy): configure docker-compose production environment and launch scripts for LAN deployment | a8a56c35 test(qa): harden production readiness preflight and e2e checks | dc53001c feat(security): harden backend policies and backup controls | ca8c199f feat(deploy): harden hospital LAN installer | 51450eb2 chore(security): add supply chain guard"
"fix/f8-audit-hardening-2026-06-14","5","47","15","6","1","45","backend/database/migrations/2026_06_14_000001_add_backup_protection_metadata_to_backup_logs.php; backend/tests/Unit/CashPaymentLockOrderTest.php","81d74d6e fix(backend): satisfy hardening quality gates | a503ca5a fix(frontend): enforce receipt reprint reasons and safe catalog errors | 6a9d83ef fix(infra): require operational LAN health and realtime checks | b8688251 fix(backups): encrypt artifacts and harden retention | 44f45912 fix(backend): harden billing permissions and audit trails"
"hardening-audit-complete-2026-06-15","4","85","17","8","3","80","docs/DATA_MIGRATION.md; docs/DATETIME_POLICY.md; docs/ENDPOINT_SECURITY.md; docs/MAINTENANCE_ROUTINE.md; docs/PHYSICAL_SECURITY.md","6cecb4af Exclude vendored paths from offline dependency audit | 680e7d2e fix(release): harden audit backups receipts and document release truth | e2b11f45 docs(offline): add physical endpoint datetime migration maintenance docs | bf552ef7 docs(offline): add offline mode gap analysis and phased plan"
